negative_words,positive_words
contentious,fascinatingly
contort,fascination
contortions,fashionable
contradict,fashionably
contradiction,fast
contradictory,fast-growing
contrariness,fast-paced
contravene,faster
contrive,fastest
contrived,fastest-growing
controversial,faultless
controversy,fav
convoluted,fave
corrode,favor
corrosion,favorable
corrosions,favored
corrosive,favorite
corrupt,favorited
corrupted,favour
corrupting,fearless
corruption,fearlessly
corrupts,feasible
corruptted,feasibly
costlier,feat
costly,feature-rich
counter-productive,fecilitous
counterproductive,feisty
coupists,felicitate
covetous,felicitous
coward,felicity
cowardly,fertile
crabby,fervent
crack,fervently
cracked,fervid
cracks,fervidly
craftily,fervor
craftly,festive
crafty,fidelity
cramp,fiery
cramped,fine
cramping,fine-looking
cranky,finely
crap,finer
crappy,finest
craps,firmer
crash,first-class
crashed,first-in-class
crashes,first-rate
crashing,flashy
crass,flatter
craven,flattering
cravenly,flatteringly
craze,flawless
crazily,flawlessly
craziness,flexibility
crazy,flexible
creak,flourish
creaking,flourishing
creaks,fluent
credulous,flutter
creep,fond
creeping,fondly
creeps,fondness
creepy,foolproof
crept,foremost
crime,foresight
criminal,formidable
cringe,fortitude
cringed,fortuitous
cringes,fortuitously
cripple,fortunate
crippled,fortunately
cripples,fortune
crippling,fragrant
crisis,free
critic,freed
critical,freedom
criticism,freedoms
criticisms,fresh
criticize,fresher
criticized,freshest
criticizing,friendliness
critics,friendly
cronyism,frolic
crook,frugal
crooked,fruitful
crooks,ftw
crowded,fulfillment
crowdedness,fun
crude,futurestic
cruel,futuristic
crueler,gaiety
cruelest,gaily
cruelly,gain
cruelness,gained
cruelties,gainful
cruelty,gainfully
crumble,gaining
crumbling,gains
crummy,gallant
crumple,gallantly
crumpled,galore
crumples,geekier
crush,geeky
crushed,gem
crushing,gems
cry,generosity
culpable,generous
culprit,generously
cumbersome,genial
cunt,genius
cunts,gentle
cuplrit,gentlest
curse,genuine
cursed,gifted
curses,glad
curt,gladden
cuss,gladly
cussed,gladness
cutthroat,glamorous
cynical,glee
cynicism,gleeful
d*mn,gleefully
damage,glimmer
damaged,glimmering
damages,glisten
damaging,glistening
damn,glitter
damnable,glitz
damnably,glorify
damnation,glorious
damned,gloriously
damning,glory
damper,glow
danger,glowing
dangerous,glowingly
dangerousness,god-given
dark,god-send
darken,godlike
darkened,godsend
darker,gold
darkness,golden
dastard,good
dastardly,goodly
daunt,goodness
daunting,goodwill
dauntingly,goood
dawdle,gooood
daze,gorgeous
dazed,gorgeously
dead,grace
deadbeat,graceful
deadlock,gracefully
deadly,gracious
deadweight,graciously
deaf,graciousness
dearth,grand
death,grandeur
debacle,grateful
debase,gratefully
debasement,gratification
debaser,gratified
debatable,gratifies
debauch,gratify
debaucher,gratifying
debauchery,gratifyingly
debilitate,gratitude
debilitating,great
debility,greatest
debt,greatness
debts,grin
decadence,groundbreaking
decadent,guarantee
decay,guidance
decayed,guiltless
deceit,gumption
deceitful,gush
deceitfully,gusto
deceitfulness,gutsy
deceive,hail
deceiver,halcyon
deceivers,hale
deceiving,hallmark
deception,hallmarks
deceptive,hallowed
deceptively,handier
declaim,handily
decline,hands-down
declines,handsome
declining,handsomely
decrement,handy
decrepit,happier
decrepitude,happily
decry,happiness
defamation,happy
defamations,hard-working
defamatory,hardier
defame,hardy
defect,harmless
defective,harmonious
defects,harmoniously
defensive,harmonize
defiance,harmony
defiant,headway
defiantly,heal
deficiencies,healthful
deficiency,healthy
deficient,hearten
defile,heartening
defiler,heartfelt
deform,heartily
deformed,heartwarming
defrauding,heaven
defunct,heavenly
defy,helped
degenerate,helpful
degenerately,helping
degeneration,hero
degradation,heroic
degrade,heroically
degrading,heroine
degradingly,heroize
dehumanization,heros
dehumanize,high-quality
deign,high-spirited
deject,hilarious
dejected,holy
dejectedly,homage
dejection,honest
delay,honesty
delayed,honor
delaying,honorable
delays,honored
delinquency,honoring
delinquent,hooray
delirious,hopeful
delirium,hospitable
delude,hot
deluded,hotcake
deluge,hotcakes
delusion,hottest
delusional,hug
delusions,humane
demean,humble
demeaning,humility
demise,humor
demolish,humorous
demolisher,humorously
demon,humour
demonic,humourous
demonize,ideal
demonized,idealize
demonizes,ideally
demonizing,idol
demoralize,idolize
demoralizing,idolized
demoralizingly,idyllic
denial,illuminate
denied,illuminati
denies,illuminating
denigrate,illumine
denounce,illustrious
dense,ilu
dent,imaculate
dented,imaginative
dents,immaculate
denunciate,immaculately
denunciation,immense
denunciations,impartial
deny,impartiality
denying,impartially
deplete,impassioned
deplorable,impeccable
deplorably,impeccably
deplore,important
deploring,impress
deploringly,impressed
deprave,impresses
depraved,impressive
depravedly,impressively
deprecate,impressiveness
depress,improve
depressed,improved
depressing,improvement
depressingly,improvements
depression,improves
depressions,improving
deprive,incredible
deprived,incredibly
deride,indebted
derision,individualized
derisive,indulgence
derisively,indulgent
derisiveness,industrious
derogatory,inestimable
desecrate,inestimably
desert,inexpensive
desertion,infallibility
desiccate,infallible
desiccated,infallibly
desititute,influential
desolate,ingenious
desolately,ingeniously
desolation,ingenuity
despair,ingenuous
despairing,ingenuously
despairingly,innocuous
desperate,innovation
desperately,innovative
desperation,inpressed
despicable,insightful
despicably,insightfully
despise,inspiration
despised,inspirational
despoil,inspire
despoiler,inspiring
despondence,instantly
despondency,instructive
despondent,instrumental
despondently,integral
despot,integrated
despotic,intelligence
despotism,intelligent
destabilisation,intelligible
destains,interesting
destitute,interests
destitution,intimacy
destroy,intimate
destroyer,intricate
destruction,intrigue
destructive,intriguing
desultory,intriguingly
deter,intuitive
deteriorate,invaluable
deteriorating,invaluablely
deterioration,inventive
deterrent,invigorate
detest,invigorating
detestable,invincibility
detestably,invincible
detested,inviolable
detesting,inviolate
detests,invulnerable
detract,irreplaceable
detracted,irreproachable
detracting,irresistible
detraction,irresistibly
detracts,issue-free
detriment,jaw-droping
detrimental,jaw-dropping
devastate,jollify
devastated,jolly
devastates,jovial
devastating,joy
devastatingly,joyful
devastation,joyfully
deviate,joyous
deviation,joyously
devil,jubilant
devilish,jubilantly
devilishly,jubilate
devilment,jubilation
devilry,jubiliant
devious,judicious
deviously,justly
deviousness,keen
devoid,keenly
diabolic,keenness
diabolical,kid-friendly
diabolically,kindliness
diametrically,kindly
diappointed,kindness
diatribe,knowledgeable
diatribes,kudos
dick,large-capacity
dictator,laud
dictatorial,laudable
die,laudably
die-hard,lavish
died,lavishly
dies,law-abiding
difficult,lawful
difficulties,lawfully
difficulty,lead
diffidence,leading
dilapidated,leads
dilemma,lean
dilly-dally,led
dim,legendary
dimmer,leverage
din,levity
ding,liberate
dings,liberation
dinky,liberty
dire,lifesaver
direly,light-hearted
direness,lighter
dirt,likable
dirtbag,like
dirtbags,liked
dirts,likes
dirty,liking
disable,lionhearted
disabled,lively
disaccord,logical
disadvantage,long-lasting
disadvantaged,lovable
disadvantageous,lovably
disadvantages,love
disaffect,loved
disaffected,loveliness
disaffirm,lovely
disagree,lover
disagreeable,loves
disagreeably,loving
disagreed,low-cost
disagreeing,low-price
disagreement,low-priced
disagrees,low-risk
disallow,lower-priced
disapointed,loyal
disapointing,loyalty
disapointment,lucid
disappoint,lucidly
disappointed,luck
disappointing,luckier
disappointingly,luckiest
disappointment,luckiness
disappointments,lucky
disappoints,lucrative
disapprobation,luminous
disapproval,lush
disapprove,luster
disapproving,lustrous
disarm,luxuriant
disarray,luxuriate
disaster,luxurious
disasterous,luxuriously
disastrous,luxury
disastrously,lyrical
disavow,magic
disavowal,magical
disbelief,magnanimous
disbelieve,magnanimously
disbeliever,magnificence
disclaim,magnificent
discombobulate,magnificently
discomfit,majestic
discomfititure,majesty
discomfort,manageable
discompose,maneuverable
disconcert,marvel
disconcerted,marveled
disconcerting,marvelled
disconcertingly,marvellous
disconsolate,marvelous
disconsolately,marvelously
disconsolation,marvelousness
discontent,marvels
discontented,master
discontentedly,masterful
discontinued,masterfully
discontinuity,masterpiece
discontinuous,masterpieces
discord,masters
discordance,mastery
discordant,matchless
discountenance,mature
discourage,maturely
discouragement,maturity
discouraging,meaningful
discouragingly,memorable
discourteous,merciful
discourteously,mercifully
discoutinous,mercy
discredit,merit
discrepant,meritorious
discriminate,merrily
discrimination,merriment
discriminatory,merriness
disdain,merry
disdained,mesmerize
disdainful,mesmerized
disdainfully,mesmerizes
disfavor,mesmerizing
disgrace,mesmerizingly
disgraced,meticulous
disgraceful,meticulously
disgracefully,mightily
disgruntle,mighty
disgruntled,mind-blowing
disgust,miracle
disgusted,miracles
disgustedly,miraculous
disgustful,miraculously
disgustfully,miraculousness
disgusting,modern
disgustingly,modest
dishearten,modesty
disheartening,momentous
dishearteningly,monumental
dishonest,monumentally
dishonestly,morality
dishonesty,motivated
dishonor,multi-purpose
dishonorable,navigable
dishonorablely,neat
disillusion,neatest
disillusioned,neatly
disillusionment,nice
disillusions,nicely
disinclination,nicer
disinclined,nicest
disingenuous,nifty
disingenuously,nimble
disintegrate,noble
disintegrated,nobly
disintegrates,noiseless
disintegration,non-violence
disinterest,non-violent
disinterested,notably
dislike,noteworthy
disliked,nourish
dislikes,nourishing
disliking,nourishment
dislocated,novelty
disloyal,nurturing
disloyalty,oasis
dismal,obsession
dismally,obsessions
dismalness,obtainable
dismay,openly
dismayed,openness
dismaying,optimal
dismayingly,optimism
dismissive,optimistic
dismissively,opulent
disobedience,orderly
disobedient,originality
disobey,outdo
disoobedient,outdone
disorder,outperform
disordered,outperformed
disorderly,outperforming
disorganized,outperforms
disorient,outshine
disoriented,outshone
disown,outsmart
disparage,outstanding
disparaging,outstandingly
disparagingly,outstrip
dispensable,outwit
dispirit,ovation
dispirited,overjoyed
dispiritedly,overtake
dispiriting,overtaken
displace,overtakes
displaced,overtaking
displease,overtook
displeased,overture
displeasing,pain-free
displeasure,painless
disproportionate,painlessly
disprove,palatial
disputable,pamper
dispute,pampered
disputed,pamperedly
disquiet,pamperedness
disquieting,pampers
disquietingly,panoramic
disquietude,paradise
disregard,paramount
disregardful,pardon
disreputable,passion
disrepute,passionate
disrespect,passionately
disrespectable,patience
disrespectablity,patient
disrespectful,patiently
disrespectfully,patriot
disrespectfulness,patriotic
disrespecting,peace
disrupt,peaceable
disruption,peaceful
disruptive,peacefully
diss,peacekeepers
dissapointed,peach
dissappointed,peerless
dissappointing,pep
dissatisfaction,pepped
dissatisfactory,pepping
dissatisfied,peppy
dissatisfies,peps
dissatisfy,perfect
dissatisfying,perfection
dissed,perfectly
dissemble,permissible
dissembler,perseverance
dissension,persevere
dissent,personages
dissenter,personalized
dissention,phenomenal
disservice,phenomenally
disses,picturesque
dissidence,piety
dissident,pinnacle
dissidents,playful
dissing,playfully
dissocial,pleasant
dissolute,pleasantly
dissolution,pleased
dissonance,pleases
dissonant,pleasing
dissonantly,pleasingly
dissuade,pleasurable
dissuasive,pleasurably
distains,pleasure
distaste,plentiful
distasteful,pluses
distastefully,plush
distort,plusses
distorted,poetic
distortion,poeticize
distorts,poignant
distract,poise
distracting,poised
distraction,polished
distraught,polite
distraughtly,politeness
distraughtness,popular
distress,portable
distressed,posh
distressing,positive
distressingly,positively
distrust,positives
distrustful,powerful
distrusting,powerfully
disturb,praise
disturbance,praiseworthy
disturbed,praising
disturbing,pre-eminent
disturbingly,precious
disunity,precise
disvalue,precisely
divergent,preeminent
divisive,prefer
divisively,preferable
divisiveness,preferably
dizzing,prefered
dizzingly,preferes
dizzy,preferring
doddering,prefers
dodgey,premier
dogged,prestige
doggedly,prestigious
dogmatic,prettily
doldrums,pretty
domineer,priceless
domineering,pride
donside,principled
doom,privilege
doomed,privileged
doomsday,prize
dope,proactive
doubt,problem-free
doubtful,problem-solver
doubtfully,prodigious
doubts,prodigiously
douchbag,prodigy
douchebag,productive
douchebags,productively
downbeat,proficient
downcast,proficiently
downer,profound
downfall,profoundly
downfallen,profuse
downgrade,profusion
downhearted,progress
downheartedly,progressive
downhill,prolific
downside,prominence
downsides,prominent
downturn,promise
downturns,promised
drab,promises
draconian,promising
draconic,promoter
drag,prompt
dragged,promptly
dragging,proper
dragoon,properly
drags,propitious
drain,propitiously
drained,pros
draining,prosper
drains,prosperity
drastic,prosperous
drastically,prospros
drawback,protect
drawbacks,protection
dread,protective
dreadful,proud
dreadfully,proven
dreadfulness,proves
dreary,providence
dripped,proving
dripping,prowess
drippy,prudence
drips,prudent
drones,prudently
droop,punctual
droops,pure
drop-out,purify
drop-outs,purposeful
dropout,quaint
dropouts,qualified
drought,qualify
drowning,quicker
drunk,quiet
drunkard,quieter
drunken,radiance
dubious,radiant
dubiously,rapid
dubitable,rapport
dud,rapt
dull,rapture
dullard,raptureous
dumb,raptureously
dumbfound,rapturous
dump,rapturously
dumped,rational
dumping,razor-sharp
dumps,reachable
dunce,readable
dungeon,readily
dungeons,ready
dupe,reaffirm
dust,reaffirmation
dusty,realistic
dwindling,realizable
dying,reasonable
earsplitting,reasonably
eccentric,reasoned
eccentricity,reassurance
effigy,reassure
effrontery,receptive
egocentric,reclaim
egomania,recomend
egotism,recommend
egotistical,recommendation
egotistically,recommendations
egregious,recommended
egregiously,reconcile
election-rigger,reconciliation
elimination,record-setting
emaciated,recover
emasculate,recovery
embarrass,rectification
embarrassing,rectify
embarrassingly,rectifying
embarrassment,redeem
embattled,redeeming
embroil,redemption
embroiled,refine
embroilment,refined
emergency,refinement
emphatic,reform
emphatically,reformed
emptiness,reforming
encroach,reforms
encroachment,refresh
endanger,refreshed
enemies,refreshing
enemy,refund
enervate,refunded
enfeeble,regal
enflame,regally
engulf,regard
enjoin,rejoice
enmity,rejoicing
enrage,rejoicingly
enraged,rejuvenate
enraging,rejuvenated
enslave,rejuvenating
entangle,relaxed
entanglement,relent
entrap,reliable
entrapment,reliably
envious,relief
enviously,relish
enviousness,remarkable
epidemic,remarkably
equivocal,remedy
erase,remission
erode,remunerate
erodes,renaissance
erosion,renewed
err,renown
errant,renowned
erratic,replaceable
erratically,reputable
erroneous,reputation
erroneously,resilient
error,resolute
errors,resound
eruptions,resounding
escapade,resourceful
eschew,resourcefulness
estranged,respect
evade,respectable
evasion,respectful
evasive,respectfully
evil,respite
evildoer,resplendent
evils,responsibly
eviscerate,responsive
exacerbate,restful
exagerate,restored
exagerated,restructure
exagerates,restructured
exaggerate,restructuring
exaggeration,retractable
exasperate,revel
exasperated,revelation
exasperating,revere
exasperatingly,reverence
exasperation,reverent
excessive,reverently
excessively,revitalize
exclusion,revival
excoriate,revive
excruciating,revives
excruciatingly,revolutionary
excuse,revolutionize
excuses,revolutionized
execrate,revolutionizes
exhaust,reward
exhausted,rewarding
exhaustion,rewardingly
exhausts,rich
exhorbitant,richer
exhort,richly
exile,richness
exorbitant,right
exorbitantance,righten
exorbitantly,righteous
expel,righteously
expensive,righteousness
expire,rightful
expired,rightfully
explode,rightly
exploit,rightness
exploitation,risk-free
explosive,robust
expropriate,rock-star
expropriation,rock-stars
expulse,rockstar
expunge,rockstars
exterminate,romantic
extermination,romantically
extinguish,romanticize
extort,roomier
extortion,roomy
extraneous,rosy
extravagance,safe
extravagant,safely
extravagantly,sagacity
extremism,sagely
extremist,saint
extremists,saintliness
eyesore,saintly
f**k,salutary
fabricate,salute
fabrication,sane
facetious,satisfactorily
facetiously,satisfactory
fail,satisfied
failed,satisfies
failing,satisfy
fails,satisfying
failure,satisified
failures,saver
faint,savings
fainthearted,savior
faithless,savvy
fake,scenic
fall,seamless
fallacies,seasoned
fallacious,secure
fallaciously,securely
fallaciousness,selective
fallacy,self-determination
fallen,self-respect
falling,self-satisfaction
fallout,self-sufficiency
falls,self-sufficient
FALSE,sensation
falsehood,sensational
falsely,sensationally
falsify,sensations
falter,sensible
faltered,sensibly
famine,sensitive
famished,serene
fanatic,serenity
fanatical,sexy
fanatically,sharp
fanaticism,sharper
fanatics,sharpest
fanciful,shimmering
far-fetched,shimmeringly
farce,shine
farcical,shiny
farcical-yet-provocative,significant
farcically,silent
farfetched,simpler
fascism,simplest
fascist,simplified
